activo,modelo,particion,retorno_total_media,cagr_media,volatilidad_anual_media,ratio_sharpe_media,ratio_sortino_media,caida_maxima_media,ratio_calmar_media,exposicion_media,n_operaciones_media,aciertos_media,retorno_total_desv,cagr_desv,volatilidad_anual_desv,ratio_sharpe_desv,ratio_sortino_desv,caida_maxima_desv,ratio_calmar_desv,exposicion_desv,n_operaciones_desv,aciertos_desv,n_semillas
BTC_USD,Comprar y mantener,prueba,-0.27255128817373786,-0.1712171638976131,0.40269050310548404,-0.2646871022958526,-0.2656845286174338,-0.5350818855532018,-0.3199831063624923,1.0,1.0,0.4894613583138173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC_USD,DQN,prueba,-0.26246391773842387,-0.1684495542500697,0.32460127909459063,-0.4214821525990031,-0.35965103053773495,-0.46310851187816676,-0.3504809317916778,0.6682279469164715,64.33333333333333,0.47525852625259674,0.14900908548001707,0.0981444230602688,0.018690681595782115,0.35881482283149596,0.30034387135365864,0.04177522947939237,0.19997520861653015,0.10736001477807919,19.48218559493661,0.01855852024475148,3
BTC_USD,DQN,validacion,1.4195961551584315,0.6790608255868591,0.38301758080352216,1.5178422399743783,1.7173617875330383,-0.2752868338907492,2.4766141239420034,0.6580796252927401,70.0,0.4929575210474087,0.3946486664987497,0.162283008001292,0.037100836106236705,0.14446927739168716,0.2602130647191546,0.055806625677582274,0.36228319682068594,0.17419648112242145,21.924111536540465,0.007153748503120372,3
GLD,Comprar y mantener,prueba,0.6156284799892238,0.3272588794359965,0.24822592676610677,1.2661226692287135,1.1425090918057415,-0.2640451785702955,1.2394048670306317,1.0,1.0,0.5784543325526932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GLD,DQN,prueba,0.4626320166006171,0.2497294724091789,0.21003819427314888,1.1476907695188865,0.9949722441615423,-0.25959335102737885,0.9881435396482106,0.8165495706479313,42.333333333333336,0.5821440420590562,0.161327117423913,0.08151345799630945,0.011077952877397433,0.2815673376435047,0.2712182652890158,0.0223581987625142,0.36579974586087305,0.02679313396054728,6.79869268479038,0.010226972231470826,3
GLD,DQN,validacion,0.3756600973409216,0.20654554717368367,0.13173513236667847,1.480373936304766,1.5053186105318621,-0.09956908167358332,2.194054292124759,0.9016393442622951,19.0,0.5295673001657669,0.08410284062228476,0.04395259239208794,0.0038258200095249283,0.25187084419814054,0.2811739163393838,0.01615379005409547,0.7406267933599496,0.044104439943249085,8.640987597877148,0.006363284090108935,3
META,Comprar y mantener,prueba,0.0689733485382713,0.04014816309668978,0.39425997577079025,0.2952663332230938,0.3097324466717782,-0.3415081234450239,0.1175613706979736,1.0,1.0,0.5081967213114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
META,DQN,prueba,0.13090279180615536,0.06587645682897543,0.31115166702290925,0.23911662110775123,0.2944211069401073,-0.3175325762492434,0.38290429839606405,0.6885245901639344,76.0,0.5067528035162832,0.29366997930465305,0.1696826392856337,0.04208303743887894,0.5865509054256879,0.5681435273304618,0.10478677150852307,0.5709361971194662,0.049012762380459825,5.715476066494082,0.00610808237787907,3
META,DQN,validacion,2.1985346077639614,0.9852170501581873,0.31191582960706127,2.3509392004758642,2.89180633970803,-0.160083941321279,6.185118191368598,0.7962529274004684,53.333333333333336,0.559996578468616,0.19343298731514258,0.07148181240706594,0.019660802406647276,0.01963589721400546,0.09315156099906627,0.01817450611835866,0.2793795515441911,0.058344689901810416,4.4969125210773475,0.0032006082934162533,3
PEP,Comprar y mantener,prueba,-0.061197948800224666,-0.036583274777995944,0.22327232466140523,-0.05586957765526932,-0.05894934357922255,-0.20043389285696167,-0.18252040239573333,1.0,1.0,0.47540983606557374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PEP,DQN,prueba,-0.11713893314664185,-0.0715538657629891,0.16403194169998267,-0.4563272111624925,-0.31336142924923993,-0.19444379251105062,-0.3508143749784629,0.5815768930523029,48.333333333333336,0.47683943700634446,0.06745957492202281,0.04213700024424542,0.031206320257648638,0.4333275634431887,0.25316513244488636,0.020004804857363515,0.17531510872858916,0.20113568136927995,16.519348924485154,0.006131513309667958,3
PEP,DQN,validacion,0.04033593619865498,0.023585882111481455,0.1170948617125293,0.2632001259596903,0.20812078740154982,-0.11152888977988062,0.2097221522036147,0.6010928961748634,29.0,0.5239741062951285,0.0150553314653138,0.008725871627657162,0.02557245436743601,0.07176878781145496,0.05423074077445577,0.022896259143240828,0.05203000022126533,0.2418296608693385,11.51810169544733,0.015521018534462784,3
SPY,Comprar y mantener,prueba,0.3378471150679121,0.18740958248000528,0.17337028779163108,1.076921675851737,1.063440351925787,-0.18755221196416583,0.9992395211836381,1.0,1.0,0.5644028103044496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SPY,DQN,prueba,0.291690566375169,0.16303072751738176,0.163388722294855,1.0059965676938958,1.007242412029836,-0.16035977153389294,1.0450726792312344,0.8813427010148321,24.333333333333332,0.5526432302565178,0.018328633106147244,0.00972612505315986,0.004121696639678389,0.06129076445050855,0.05998468895483465,0.027993392475655552,0.16652992320108348,0.011526013317902746,8.379870059984357,0.005352892834692674,3
SPY,DQN,validacion,0.5360698009322732,0.288226063624948,0.11825834450113999,2.2010607385422083,2.1755672359916676,-0.09451412692419174,3.061805210803245,0.9336455893832943,11.333333333333334,0.5794314617659909,0.0307666562317339,0.015186458826447228,8.877177768849893e-05,0.09855774264336793,0.11788464706429717,0.007394950204330922,0.20037585924408913,0.003980499229970953,3.2998316455372216,0.0025619057636990946,3
TLT,Comprar y mantener,prueba,-0.007373727124165841,-0.0043583061708906135,0.11297941707096672,0.017747118295973422,0.017418377194032927,-0.09437599252002649,-0.04618024197166229,1.0,1.0,0.5035128805620609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TLT,DQN,prueba,-0.06172862600276722,-0.03698414651584481,0.08105746102193732,-0.44663859520942956,-0.3071874093896762,-0.11653310984967236,-0.3154560649259078,0.565183450429352,20.333333333333332,0.48732588485223644,0.024604732930435805,0.01485120891457999,0.01960953919118203,0.24325584900376868,0.13458917790181887,0.015179421535625277,0.1266060977903345,0.27748434952656087,5.79271573232759,0.018364374603354907,3
TLT,DQN,validacion,0.03344275714663044,0.019409478638140687,0.09924797549501008,0.35674390146306423,0.19208030160229153,-0.11595308554463073,0.34267319703774807,0.43481654957064797,23.666666666666668,0.5214876350909581,0.04124896641314128,0.02388903074586528,0.04368915154522013,0.3984394362564927,0.18198542722584696,0.07225969187907849,0.4681409072008527,0.36801862721341233,4.496912521077347,0.025215890770970462,3
