activo,modelo,semilla,particion,n_periodos,retorno_total,cagr,volatilidad_anual,ratio_sharpe,ratio_sortino,caida_maxima,ratio_calmar,exposicion,n_operaciones,aciertos
BTC_USD,Comprar y mantener,,prueba,427,-0.27255128817373786,-0.1712171638976131,0.40269050310548404,-0.2646871022958526,-0.2656845286174338,-0.5350818855532018,-0.3199831063624923,1.0,1.0,0.4894613583138173
BTC_USD,DQN,0.0,validacion,427,1.9154076191024392,0.8803935724853629,0.42796312626977073,1.68758381417965,1.9808535399105323,-0.29962470991701895,2.9383209840376243,0.8220140515222483,39.0,0.49572649572649574
BTC_USD,DQN,0.0,prueba,427,-0.3165032664190254,-0.20114600899298496,0.35084146527951504,-0.46377806450149334,-0.42492023413645286,-0.5094868784032751,-0.3948011568489728,0.7704918032786885,37.0,0.48024316109422494
BTC_USD,DQN,1.0,validacion,427,1.3936129302021358,0.6738015053289117,0.3839890294635003,1.5314494029664292,1.8080913726823467,-0.328135739945025,2.053423090827591,0.7353629976580797,85.0,0.5
BTC_USD,DQN,1.0,prueba,427,-0.05904874195599785,-0.03528224430995419,0.3087240426421019,0.03759320316030302,0.03645930619553459,-0.40822484903429,-0.08642845822202891,0.7142857142857143,81.0,0.49508196721311476
BTC_USD,DQN,2.0,validacion,427,0.9497679161707195,0.48298739894630294,0.3371005866772956,1.3344935027770561,1.3631404500062363,-0.19810005181020374,2.4380982969607947,0.4168618266978923,86.0,0.48314606741573035
BTC_USD,DQN,2.0,prueba,427,-0.41183974484024843,-0.2689204094472699,0.3142383293621549,-0.8382615964558191,-0.6904921636722865,-0.471613808196935,-0.5702131803040317,0.5199063231850117,75.0,0.45045045045045046
META,Comprar y mantener,,prueba,427,0.0689733485382713,0.04014816309668978,0.39425997577079025,0.2952663332230938,0.3097324466717782,-0.3415081234450239,0.1175613706979736,1.0,1.0,0.5081967213114754
META,DQN,0.0,validacion,427,2.297653597087683,1.0222084518075594,0.31856105184388,2.3665025052985182,3.0226732654946624,-0.16444622716906765,6.216065089511746,0.7939110070257611,57.0,0.5575221238938053
META,DQN,0.0,prueba,427,0.45126550086290207,0.2458253683497551,0.35004442640207545,0.8004873389140013,0.8553359161059548,-0.23489096642131935,1.0465509682855276,0.7447306791569087,73.0,0.5125786163522013
META,DQN,1.0,validacion,427,1.9281673905490315,0.8852461910918041,0.28521156985179763,2.3630746348582017,2.813288314299629,-0.1359665987355011,6.510762196926715,0.7259953161592506,56.0,0.5645161290322581
META,DQN,1.0,prueba,427,0.19960762319025616,0.11338686948788723,0.33071795208502996,0.48730755669683845,0.5121720263694178,-0.2523255703880093,0.44936733646743976,0.6955503512880562,71.0,0.4983164983164983
META,DQN,2.0,validacion,427,2.36978283565517,1.0481965075751982,0.3319748671255061,2.3232404612708732,2.839457439329799,-0.17983899805926828,5.8285272876673355,0.8688524590163934,47.0,0.5579514824797843
META,DQN,2.0,prueba,427,-0.2581647486346922,-0.16158286735071603,0.25269262258162223,-0.570445032287586,-0.4842446216550506,-0.46538119193840166,-0.34720540956477525,0.6252927400468384,84.0,0.5093632958801498
SPY,Comprar y mantener,,prueba,427,0.3378471150679121,0.18740958248000528,0.17337028779163108,1.076921675851737,1.063440351925787,-0.18755221196416583,0.9992395211836381,1.0,1.0,0.5644028103044496
