activo,modelo,particion,n,exactitud,exactitud_equilibrada,precision_alza,sensibilidad_alza,f1_alza
BTC_USD,Siempre alcista,prueba,427,0.4894613583138173,0.5,0.4894613583138173,1.0,0.6572327044025157
BTC_USD,Regresion Logistica,validacion,427,0.4964871194379391,0.4964679039971919,0.4976958525345622,0.5046728971962616,0.5011600928074246
BTC_USD,Regresion Logistica,prueba,427,0.5011709601873536,0.49764057767437775,0.4859154929577465,0.33014354066985646,0.39316239316239315
BTC_USD,Random Forest,validacion,427,0.5152224824355972,0.5154995392918258,0.5214723926380368,0.397196261682243,0.4509283819628647
BTC_USD,Random Forest,prueba,427,0.4707259953161593,0.4672314648171722,0.4405594405594406,0.3014354066985646,0.35795454545454547
BTC_USD,SVM,validacion,427,0.5175644028103045,0.5179456803124041,0.5277777777777778,0.35514018691588783,0.4245810055865922
BTC_USD,SVM,prueba,427,0.48009367681498827,0.476504543259734,0.45390070921985815,0.3062200956937799,0.3657142857142857
BTC_USD,MLP,validacion,427,0.5152224824355972,0.5152362774779518,0.5165876777251185,0.5093457943925234,0.5129411764705882
BTC_USD,MLP,prueba,427,0.45901639344262296,0.4582327378078223,0.4444444444444444,0.42105263157894735,0.43243243243243246
META,Siempre alcista,prueba,427,0.5081967213114754,0.5,0.5081967213114754,1.0,0.6739130434782609
META,Regresion Logistica,validacion,427,0.4964871194379391,0.5037105751391466,0.5454545454545454,0.4155844155844156,0.47174447174447176
META,Regresion Logistica,prueba,427,0.4918032786885246,0.4900153609831029,0.5,0.5990783410138248,0.5450733752620545
META,Random Forest,validacion,427,0.4964871194379391,0.5044836116264688,0.5465116279069767,0.4069264069264069,0.4665012406947891
META,Random Forest,prueba,427,0.4379391100702576,0.43694316436251923,0.45188284518828453,0.4976958525345622,0.47368421052631576
META,SVM,validacion,427,0.5011709601873536,0.512677798392084,0.5584415584415584,0.3722943722943723,0.44675324675324674
META,SVM,prueba,427,0.4637002341920375,0.462826420890937,0.4745762711864407,0.5161290322580645,0.49448123620309054
META,MLP,validacion,427,0.47540983606557374,0.47920531849103276,0.5181347150259067,0.4329004329004329,0.4716981132075472
META,MLP,prueba,427,0.5105386416861827,0.5102918586789554,0.5181818181818182,0.5253456221198156,0.5217391304347826
SPY,Siempre alcista,prueba,427,0.5644028103044496,0.5,0.5644028103044496,1.0,0.7215568862275449
SPY,Regresion Logistica,validacion,427,0.4894613583138173,0.4773279352226721,0.5591836734693878,0.5546558704453441,0.556910569105691
SPY,Regresion Logistica,prueba,427,0.477751756440281,0.47415562396823274,0.5401785714285714,0.5020746887966805,0.5204301075268817
SPY,Random Forest,validacion,427,0.5199063231850117,0.5074111560953666,0.5846774193548387,0.5870445344129555,0.5858585858585859
SPY,Random Forest,prueba,427,0.477751756440281,0.46924775799759066,0.5375,0.5352697095435685,0.5363825363825364
SPY,SVM,validacion,427,0.5175644028103045,0.4933310841205578,0.5734767025089605,0.6477732793522267,0.6083650190114068
SPY,SVM,prueba,427,0.5199063231850117,0.5096595725694909,0.5725806451612904,0.5892116182572614,0.5807770961145194
SPY,MLP,validacion,427,0.48711943793911006,0.47455015744489426,0.556910569105691,0.5546558704453441,0.5557809330628803
SPY,MLP,prueba,427,0.522248243559719,0.517869093829474,0.5807860262008734,0.5518672199170125,0.5659574468085107
PEP,Siempre alcista,prueba,427,0.47540983606557374,0.5,0.47540983606557374,1.0,0.6444444444444445
PEP,Regresion Logistica,validacion,427,0.4847775175644028,0.48371950149201337,0.49206349206349204,0.5740740740740741,0.5299145299145299
PEP,Regresion Logistica,prueba,427,0.522248243559719,0.53125,0.49828178694158076,0.7142857142857143,0.5870445344129555
PEP,Random Forest,validacion,427,0.48711943793911006,0.48537607512726,0.49458483754512633,0.6342592592592593,0.5557809330628803
PEP,Random Forest,prueba,427,0.5152224824355972,0.5247844827586207,0.49324324324324326,0.7192118226600985,0.5851703406813628
PEP,SVM,validacion,427,0.48009367681498827,0.47865104440933826,0.48872180451127817,0.6018518518518519,0.5394190871369294
PEP,SVM,prueba,427,0.4707259953161593,0.4789100985221675,0.45964912280701753,0.645320197044335,0.5368852459016393
PEP,MLP,validacion,427,0.49414519906323184,0.49336273477268744,0.5,0.5601851851851852,0.5283842794759825
PEP,MLP,prueba,427,0.4707259953161593,0.4729064039408867,0.45064377682403434,0.5172413793103449,0.481651376146789
TLT,Siempre alcista,prueba,427,0.5035128805620609,0.5,0.5035128805620609,1.0,0.6697819314641744
TLT,Regresion Logistica,validacion,427,0.45901639344262296,0.4591505418805669,0.455026455026455,0.40186915887850466,0.4267990074441687
TLT,Regresion Logistica,prueba,427,0.5035128805620609,0.5026985519964897,0.5057034220532319,0.6186046511627907,0.5564853556485355
TLT,Random Forest,validacion,427,0.5081967213114754,0.5083475933482515,0.510752688172043,0.4439252336448598,0.475
TLT,Random Forest,prueba,427,0.48009367681498827,0.47904782799473455,0.48736462093862815,0.627906976744186,0.5487804878048781
TLT,SVM,validacion,427,0.477751756440281,0.4776446843052082,0.48068669527896996,0.5233644859813084,0.5011185682326622
TLT,SVM,prueba,427,0.48243559718969553,0.48134050021939445,0.48928571428571427,0.6372093023255814,0.5535353535353535
TLT,MLP,validacion,427,0.468384074941452,0.46838664385064277,0.4694835680751174,0.4672897196261682,0.468384074941452
TLT,MLP,prueba,427,0.4707259953161593,0.47056823168056167,0.47533632286995514,0.4930232558139535,0.4840182648401826
GLD,Siempre alcista,prueba,427,0.5784543325526932,0.5,0.5784543325526932,1.0,0.7329376854599406
GLD,Regresion Logistica,validacion,427,0.522248243559719,0.5161674008810573,0.5450980392156862,0.6123348017621145,0.5767634854771784
GLD,Regresion Logistica,prueba,427,0.5339578454332553,0.5421614934772829,0.6237113402061856,0.4898785425101215,0.5487528344671202
GLD,Random Forest,validacion,427,0.550351288056206,0.5488436123348017,0.5777777777777777,0.5726872246696035,0.5752212389380531
GLD,Random Forest,prueba,427,0.5081967213114754,0.5191408007197481,0.6,0.4493927125506073,0.5138888888888888
GLD,SVM,validacion,427,0.5409836065573771,0.5418171806167401,0.5741626794258373,0.5286343612334802,0.5504587155963303
GLD,SVM,prueba,427,0.5433255269320844,0.5502586594691858,0.6313131313131313,0.5060728744939271,0.5617977528089888
GLD,MLP,validacion,427,0.5175644028103045,0.5141409691629956,0.5443037974683544,0.5682819383259912,0.5560344827586207
GLD,MLP,prueba,427,0.47540983606557374,0.4712100764732343,0.5515695067264574,0.4979757085020243,0.5234042553191489
