fecha,activo,particion,modelo,semilla,senal,retorno_futuro,precio_cierre,recompensa,rotacion
2023-03-09,BTC_USD,validacion,DQN,0,1,-0.0086696568831137,20363.021484375,-0.01613218377905641,1.0
2023-03-10,BTC_USD,validacion,DQN,0,1,0.0877836343684854,20187.244140625,0.09175187888693823,0.0
2023-03-13,BTC_USD,validacion,DQN,0,1,0.0224161647975057,24197.533203125,0.022669294883089903,0.0
2023-03-14,BTC_USD,validacion,DQN,0,1,-0.0150694198256179,24746.07421875,-0.014956444322371141,0.0
2023-03-15,BTC_USD,validacion,DQN,0,1,0.0273877219696504,24375.9609375,0.027766213062754206,0.0
2023-03-16,BTC_USD,validacion,DQN,0,1,0.0904308173547872,25052.7890625,0.09464577453171522,0.0
2023-03-17,BTC_USD,validacion,DQN,0,1,-0.0097280586770752,27423.9296875,-0.009680894177838276,0.0
2023-03-20,BTC_USD,validacion,DQN,0,1,0.0146072594573107,27767.236328125,0.01471446683770811,0.0
2023-03-21,BTC_USD,validacion,DQN,0,1,-0.0313049347860252,28175.81640625,-0.030820008681536257,0.0
2023-03-22,BTC_USD,validacion,DQN,0,1,0.0369024309214414,27307.4375,0.03759177902540271,0.0
2023-03-23,BTC_USD,validacion,DQN,0,1,-0.0301197331855556,28333.97265625,-0.029670654030738493,0.0
2023-03-24,BTC_USD,validacion,DQN,0,1,-0.0309974400560333,27493.28515625,-0.030521945117653253,0.0
2023-03-27,BTC_USD,validacion,DQN,0,0,0.004714100093914,27139.888671875,-0.0075,1.0
2023-03-28,BTC_USD,validacion,DQN,0,0,0.0388533993126916,27268.130859375,0.0,0.0
2023-03-29,BTC_USD,validacion,DQN,0,0,-0.0111695987413331,28348.44140625,-0.0,0.0
2023-03-30,BTC_USD,validacion,DQN,0,0,0.0157464148884536,28033.5625,0.0,0.0
2023-03-31,BTC_USD,validacion,DQN,0,1,-0.014613274150394,28478.484375,-0.022007018470504916,1.0
2023-04-03,BTC_USD,validacion,DQN,0,1,0.0135055858746378,27790.220703125,0.01359719826127567,0.0
2023-04-04,BTC_USD,validacion,DQN,0,1,0.0003512057047058,28168.08984375,0.00035126738464988036,0.0
2023-04-05,BTC_USD,validacion,DQN,0,1,-0.0047612573465794,28177.984375,-0.004749940528704026,0.0
2023-04-06,BTC_USD,validacion,DQN,0,1,0.0455336467573902,28044.140625,0.04658621825410656,0.0
2023-04-10,BTC_USD,validacion,DQN,0,1,0.0194394895643321,29652.98046875,0.019629666758571716,0.0
2023-04-11,BTC_USD,validacion,DQN,0,1,-0.0031803678161343,30235.05859375,-0.003175315803583194,0.0
2023-04-12,BTC_USD,validacion,DQN,0,1,0.0085901337682815,30139.052734375,0.008627134839524772,0.0
2023-04-13,BTC_USD,validacion,DQN,0,1,0.0028457979620181,30399.06640625,0.0028498510889198737,0.0
2023-04-14,BTC_USD,validacion,DQN,0,1,-0.0291287232768213,30485.69921875,-0.02870857139617384,0.0
2023-04-17,BTC_USD,validacion,DQN,0,1,0.0318364609978162,29445.044921875,0.03234866222915391,0.0
2023-04-18,BTC_USD,validacion,DQN,0,1,-0.0531995366286723,30397.552734375,-0.05180920518953676,0.0
2023-04-19,BTC_USD,validacion,DQN,0,1,-0.020211126619281,28822.6796875,-0.020008250880992944,0.0
2023-04-20,BTC_USD,validacion,DQN,0,1,-0.0349108772717124,28245.98828125,-0.03430852251833878,0.0
2023-04-21,BTC_USD,validacion,DQN,0,1,-0.0023965485595713,27276.91015625,-0.0023936791297724416,0.0
2023-04-24,BTC_USD,validacion,DQN,0,1,0.0280232077739538,27525.33984375,0.02841955147295366,0.0
2023-04-25,BTC_USD,validacion,DQN,0,1,0.0040579258685806,28307.59765625,0.00406617039788214,0.0
2023-04-26,BTC_USD,validacion,DQN,0,1,0.0363131328622946,28422.701171875,0.03698050833184281,0.0
2023-04-27,BTC_USD,validacion,DQN,0,1,-0.0045406028897519,29473.787109375,-0.004530309937080523,0.0
2023-04-28,BTC_USD,validacion,DQN,0,1,-0.0410528562110149,29340.26171875,-0.040221601642480224,0.0
2023-05-01,BTC_USD,validacion,DQN,0,1,0.0207492702911204,28091.568359375,0.020966033026897226,0.0
2023-05-02,BTC_USD,validacion,DQN,0,1,0.0112946008250287,28680.537109375,0.011358625646815865,0.0
2023-05-03,BTC_USD,validacion,DQN,0,1,-0.0054826978253753,29006.30859375,-0.005467695268337938,0.0
2023-05-04,BTC_USD,validacion,DQN,0,1,0.0235245236353522,28847.7109375,0.02380340782021535,0.0
2023-05-05,BTC_USD,validacion,DQN,0,1,-0.0270974803125891,29534.384765625,-0.026733637409259933,0.0
2023-05-08,BTC_USD,validacion,DQN,0,1,-0.0012826051136456,27694.2734375,-0.0012817829272578813,0.0
2023-05-09,BTC_USD,validacion,DQN,0,1,-0.0013393336115541,27658.775390625,-0.00133843710457789,0.0
2023-05-10,BTC_USD,validacion,DQN,0,1,-0.0227376278728039,27621.755859375,-0.022481076150133283,0.0
2023-05-11,BTC_USD,validacion,DQN,0,1,-0.0072780171559251,27000.7890625,-0.0072515965245228105,0.0
2023-05-12,BTC_USD,validacion,DQN,0,1,0.0096836881797241,26804.990234375,0.009730726801279779,0.0
2023-05-15,BTC_USD,validacion,DQN,0,0,-0.0057549433066925,27192.693359375,-0.0075,1.0
2023-05-16,BTC_USD,validacion,DQN,0,0,0.0133059491984704,27036.650390625,0.0,0.0
2023-05-17,BTC_USD,validacion,DQN,0,0,-0.0208963229384923,27398.802734375,-0.0,0.0
2023-05-18,BTC_USD,validacion,DQN,0,0,0.0021562704301694,26832.208984375,0.0,0.0
2023-05-19,BTC_USD,validacion,DQN,0,0,0.0036358955711424,26890.12890625,0.0,0.0
2023-05-22,BTC_USD,validacion,DQN,0,0,0.0138489626434261,26851.27734375,0.0,0.0
2023-05-23,BTC_USD,validacion,DQN,0,0,-0.0332704001878959,27225.7265625,-0.0,0.0
2023-05-24,BTC_USD,validacion,DQN,0,0,0.0053545262051376,26334.818359375,0.0,0.0
2023-05-25,BTC_USD,validacion,DQN,0,0,0.0091393326620574,26476.20703125,0.0,0.0
2023-05-26,BTC_USD,validacion,DQN,0,0,-0.0015702994220325,26719.291015625,-0.0,0.0
2023-05-30,BTC_USD,validacion,DQN,0,1,-0.017577792723265,27702.349609375,-0.02492420455507667,1.0
2023-05-31,BTC_USD,validacion,DQN,0,1,-0.014792581991188,27219.658203125,-0.014683709247646339,0.0
2023-06-01,BTC_USD,validacion,DQN,0,1,0.0158916110657963,26819.97265625,0.01601855426947593,0.0
2023-06-02,BTC_USD,validacion,DQN,0,1,-0.0514103456988917,27249.58984375,-0.05011119223804852,0.0
2023-06-05,BTC_USD,validacion,DQN,0,0,0.0558151185623361,25760.09765625,-0.0075,1.0
2023-06-06,BTC_USD,validacion,DQN,0,1,-0.0333254241208089,27238.783203125,-0.04027624957004584,1.0
2023-06-07,BTC_USD,validacion,DQN,0,1,0.0061383660637044,26345.998046875,0.006157244440365424,0.0
