fecha,activo,modelo,particion,senal,retorno_futuro,precio_cierre
2023-03-09,BTC_USD,Regresion Logistica,validacion,0,-0.0086696568831137,20363.021484375
2023-03-10,BTC_USD,Regresion Logistica,validacion,0,0.0877836343684854,20187.244140625
2023-03-13,BTC_USD,Regresion Logistica,validacion,1,0.0224161647975057,24197.533203125
2023-03-14,BTC_USD,Regresion Logistica,validacion,1,-0.0150694198256179,24746.07421875
2023-03-15,BTC_USD,Regresion Logistica,validacion,1,0.0273877219696504,24375.9609375
2023-03-16,BTC_USD,Regresion Logistica,validacion,0,0.0904308173547872,25052.7890625
2023-03-17,BTC_USD,Regresion Logistica,validacion,0,-0.0097280586770752,27423.9296875
2023-03-20,BTC_USD,Regresion Logistica,validacion,1,0.0146072594573107,27767.236328125
2023-03-21,BTC_USD,Regresion Logistica,validacion,1,-0.0313049347860252,28175.81640625
2023-03-22,BTC_USD,Regresion Logistica,validacion,1,0.0369024309214414,27307.4375
2023-03-23,BTC_USD,Regresion Logistica,validacion,0,-0.0301197331855556,28333.97265625
2023-03-24,BTC_USD,Regresion Logistica,validacion,1,-0.0309974400560333,27493.28515625
2023-03-27,BTC_USD,Regresion Logistica,validacion,1,0.004714100093914,27139.888671875
2023-03-28,BTC_USD,Regresion Logistica,validacion,0,0.0388533993126916,27268.130859375
2023-03-29,BTC_USD,Regresion Logistica,validacion,1,-0.0111695987413331,28348.44140625
2023-03-30,BTC_USD,Regresion Logistica,validacion,1,0.0157464148884536,28033.5625
2023-03-31,BTC_USD,Regresion Logistica,validacion,1,-0.014613274150394,28478.484375
2023-04-03,BTC_USD,Regresion Logistica,validacion,1,0.0135055858746378,27790.220703125
2023-04-04,BTC_USD,Regresion Logistica,validacion,1,0.0003512057047058,28168.08984375
2023-04-05,BTC_USD,Regresion Logistica,validacion,1,-0.0047612573465794,28177.984375
2023-04-06,BTC_USD,Regresion Logistica,validacion,1,0.0455336467573902,28044.140625
2023-04-10,BTC_USD,Regresion Logistica,validacion,1,0.0194394895643321,29652.98046875
2023-04-11,BTC_USD,Regresion Logistica,validacion,1,-0.0031803678161343,30235.05859375
2023-04-12,BTC_USD,Regresion Logistica,validacion,1,0.0085901337682815,30139.052734375
2023-04-13,BTC_USD,Regresion Logistica,validacion,1,0.0028457979620181,30399.06640625
2023-04-14,BTC_USD,Regresion Logistica,validacion,1,-0.0291287232768213,30485.69921875
2023-04-17,BTC_USD,Regresion Logistica,validacion,1,0.0318364609978162,29445.044921875
2023-04-18,BTC_USD,Regresion Logistica,validacion,1,-0.0531995366286723,30397.552734375
2023-04-19,BTC_USD,Regresion Logistica,validacion,1,-0.020211126619281,28822.6796875
2023-04-20,BTC_USD,Regresion Logistica,validacion,1,-0.0349108772717124,28245.98828125
2023-04-21,BTC_USD,Regresion Logistica,validacion,0,-0.0023965485595713,27276.91015625
2023-04-24,BTC_USD,Regresion Logistica,validacion,0,0.0280232077739538,27525.33984375
2023-04-25,BTC_USD,Regresion Logistica,validacion,1,0.0040579258685806,28307.59765625
2023-04-26,BTC_USD,Regresion Logistica,validacion,1,0.0363131328622946,28422.701171875
2023-04-27,BTC_USD,Regresion Logistica,validacion,1,-0.0045406028897519,29473.787109375
2023-04-28,BTC_USD,Regresion Logistica,validacion,1,-0.0410528562110149,29340.26171875
2023-05-01,BTC_USD,Regresion Logistica,validacion,0,0.0207492702911204,28091.568359375
2023-05-02,BTC_USD,Regresion Logistica,validacion,1,0.0112946008250287,28680.537109375
2023-05-03,BTC_USD,Regresion Logistica,validacion,1,-0.0054826978253753,29006.30859375
2023-05-04,BTC_USD,Regresion Logistica,validacion,1,0.0235245236353522,28847.7109375
2023-05-05,BTC_USD,Regresion Logistica,validacion,1,-0.0270974803125891,29534.384765625
2023-05-08,BTC_USD,Regresion Logistica,validacion,0,-0.0012826051136456,27694.2734375
2023-05-09,BTC_USD,Regresion Logistica,validacion,0,-0.0013393336115541,27658.775390625
2023-05-10,BTC_USD,Regresion Logistica,validacion,0,-0.0227376278728039,27621.755859375
2023-05-11,BTC_USD,Regresion Logistica,validacion,0,-0.0072780171559251,27000.7890625
2023-05-12,BTC_USD,Regresion Logistica,validacion,0,0.0096836881797241,26804.990234375
2023-05-15,BTC_USD,Regresion Logistica,validacion,0,-0.0057549433066925,27192.693359375
2023-05-16,BTC_USD,Regresion Logistica,validacion,0,0.0133059491984704,27036.650390625
2023-05-17,BTC_USD,Regresion Logistica,validacion,0,-0.0208963229384923,27398.802734375
2023-05-18,BTC_USD,Regresion Logistica,validacion,0,0.0021562704301694,26832.208984375
2023-05-19,BTC_USD,Regresion Logistica,validacion,0,0.0036358955711424,26890.12890625
2023-05-22,BTC_USD,Regresion Logistica,validacion,0,0.0138489626434261,26851.27734375
2023-05-23,BTC_USD,Regresion Logistica,validacion,0,-0.0332704001878959,27225.7265625
2023-05-24,BTC_USD,Regresion Logistica,validacion,0,0.0053545262051376,26334.818359375
2023-05-25,BTC_USD,Regresion Logistica,validacion,0,0.0091393326620574,26476.20703125
2023-05-26,BTC_USD,Regresion Logistica,validacion,0,-0.0015702994220325,26719.291015625
2023-05-30,BTC_USD,Regresion Logistica,validacion,0,-0.017577792723265,27702.349609375
2023-05-31,BTC_USD,Regresion Logistica,validacion,0,-0.014792581991188,27219.658203125
2023-06-01,BTC_USD,Regresion Logistica,validacion,0,0.0158916110657963,26819.97265625
2023-06-02,BTC_USD,Regresion Logistica,validacion,0,-0.0514103456988917,27249.58984375
2023-06-05,BTC_USD,Regresion Logistica,validacion,0,0.0558151185623361,25760.09765625
2023-06-06,BTC_USD,Regresion Logistica,validacion,1,-0.0333254241208089,27238.783203125
2023-06-07,BTC_USD,Regresion Logistica,validacion,0,0.0061383660637044,26345.998046875
2023-06-08,BTC_USD,Regresion Logistica,validacion,0,-0.00105086013774,26508.216796875
2023-06-09,BTC_USD,Regresion Logistica,validacion,0,-0.0014531650030546,26480.375
2023-06-12,BTC_USD,Regresion Logistica,validacion,0,0.0006263269559741,25902.5
2023-06-13,BTC_USD,Regresion Logistica,validacion,0,-0.0311153540326201,25918.728515625
2023-06-14,BTC_USD,Regresion Logistica,validacion,0,0.0178193754101164,25124.67578125
2023-06-15,BTC_USD,Regresion Logistica,validacion,0,0.0289427732653721,25576.39453125
2023-06-16,BTC_USD,Regresion Logistica,validacion,0,0.05352849528514,26327.462890625
2023-06-20,BTC_USD,Regresion Logistica,validacion,1,0.0582742132068211,28327.48828125
2023-06-21,BTC_USD,Regresion Logistica,validacion,1,-0.0038377235796951,30027.296875
2023-06-22,BTC_USD,Regresion Logistica,validacion,1,0.0258459057681537,29912.28125
2023-06-23,BTC_USD,Regresion Logistica,validacion,1,-0.0068848359381765,30695.46875
2023-06-26,BTC_USD,Regresion Logistica,validacion,1,0.0136825634152429,30271.130859375
2023-06-27,BTC_USD,Regresion Logistica,validacion,1,-0.0198089179130376,30688.1640625
2023-06-28,BTC_USD,Regresion Logistica,validacion,1,0.011865197537731,30086.24609375
2023-06-29,BTC_USD,Regresion Logistica,validacion,1,0.0010472432791648,30445.3515625
2023-06-30,BTC_USD,Regresion Logistica,validacion,1,0.0173424263179603,30477.251953125
2023-07-03,BTC_USD,Regresion Logistica,validacion,1,-0.0085955335212928,31156.439453125
